vertID, degree
0, 0
1, 81
2, 92
3, 73
4, 93
5, 85
6, 77
7, 67
8, 84
9, 78
10, 77
11, 70
12, 84
13, 92
14, 80
15, 74
16, 73
17, 88
18, 73
19, 82
20, 70
21, 83
22, 75
23, 81
24, 87
25, 77
26, 90
27, 69
28, 85
29, 61
30, 79
31, 75
32, 86
33, 88
34, 88
35, 92
36, 87
37, 86
38, 61
39, 73
40, 98
41, 77
42, 82
43, 85
44, 86
45, 59
46, 79
47, 82
48, 85
49, 74
50, 82
51, 81
52, 66
53, 79
54, 68
55, 77
56, 95
57, 86
58, 80
59, 91
60, 93
61, 89
62, 68
63, 83
64, 73
65, 81
66, 89
67, 72
68, 71
69, 73
70, 79
71, 72
72, 90
73, 65
74, 84
75, 89
76, 79
77, 78
78, 76
79, 83
80, 80
81, 79
82, 81
83, 72
84, 75
85, 88
86, 94
87, 69
88, 86
89, 86
90, 80
91, 81
92, 83
93, 72
94, 70
95, 62
96, 75
97, 80
98, 83
99, 73
100, 82
101, 87
102, 83
103, 76
104, 66
105, 66
106, 85
107, 79
108, 66
109, 80
110, 74
111, 74
112, 82
113, 98
114, 81
115, 89
116, 82
117, 73
118, 100
119, 81
120, 71
121, 81
122, 94
123, 85
124, 71
125, 78
126, 84
127, 86
128, 93
129, 86
130, 67
131, 93
132, 97
133, 70
134, 81
135, 76
136, 62
137, 80
138, 72
139, 81
140, 73
141, 83
142, 86
143, 82
144, 95
145, 71
146, 76
147, 82
148, 78
149, 89
150, 82
151, 85
152, 72
153, 85
154, 87
155, 93
156, 95
157, 72
158, 71
159, 80
160, 79
161, 83
162, 86
163, 88
164, 90
165, 94
166, 86
167, 74
168, 70
169, 70
170, 83
171, 82
172, 81
173, 102
174, 84
175, 91
176, 87
177, 75
178, 90
179, 81
180, 76
181, 80
182, 74
183, 82
184, 62
185, 82
186, 74
187, 82
188, 86
189, 76
190, 66
191, 87
192, 79
193, 64
194, 85
195, 61
196, 70
197, 91
198, 90
199, 79
200, 64
201, 70
202, 79
203, 72
204, 67
205, 73
206, 88
207, 75
208, 72
209, 85
210, 82
211, 85
212, 80
213, 82
214, 76
215, 79
216, 86
217, 81
218, 98
219, 74
220, 65
221, 80
222, 81
223, 87
224, 70
225, 91
226, 74
227, 89
228, 78
229, 63
230, 79
231, 81
232, 70
233, 71
234, 82
235, 78
236, 80
237, 80
238, 83
239, 81
240, 76
241, 75
242, 77
243, 81
244, 70
245, 73
246, 95
247, 77
248, 66
249, 71
250, 85
251, 79
252, 87
253, 78
254, 87
255, 78
256, 59
257, 63
258, 90
259, 61
260, 92
261, 77
262, 91
263, 83
264, 84
265, 65
266, 77
267, 74
268, 89
269, 77
270, 71
271, 74
272, 67
273, 73
274, 86
275, 71
276, 93
277, 91
278, 64
279, 66
280, 70
281, 63
282, 72
283, 86
284, 94
285, 63
286, 80
287, 75
288, 76
289, 74
290, 69
291, 93
292, 87
293, 86
294, 57
295, 82
296, 75
297, 87
298, 71
299, 91
300, 74
