vertID, degree
0, 19
1, 25
2, 19
3, 19
4, 17
5, 19
6, 15
7, 20
8, 20
9, 25
10, 18
11, 20
12, 22
13, 18
14, 20
15, 23
16, 19
17, 18
18, 21
19, 13
20, 28
21, 10
22, 16
23, 16
24, 26
25, 17
26, 17
27, 18
28, 18
29, 21
30, 20
31, 17
32, 22
33, 21
34, 17
35, 15
36, 19
37, 18
38, 25
39, 20
40, 18
41, 27
42, 28
43, 16
44, 15
45, 28
46, 18
47, 17
48, 19
49, 23
50, 20
51, 14
52, 22
53, 21
54, 19
55, 17
56, 19
57, 18
58, 33
59, 20
60, 19
61, 21
62, 20
63, 14
64, 20
65, 20
66, 23
67, 23
68, 21
69, 19
70, 19
71, 21
72, 17
73, 18
74, 17
75, 15
76, 21
77, 21
78, 30
79, 15
80, 20
81, 14
82, 23
83, 18
84, 21
85, 19
86, 19
87, 20
88, 20
89, 15
90, 18
91, 25
92, 22
93, 14
94, 26
95, 25
96, 17
97, 15
98, 20
99, 18
100, 16
101, 24
102, 26
103, 22
104, 25
105, 12
106, 26
107, 19
108, 20
109, 14
110, 18
111, 23
112, 16
113, 22
114, 16
115, 16
116, 27
117, 29
118, 11
119, 16
120, 19
121, 14
122, 17
123, 20
124, 24
125, 23
126, 25
127, 30
128, 24
129, 15
130, 13
131, 26
132, 19
133, 21
134, 17
135, 16
136, 14
137, 23
138, 23
139, 18
140, 23
141, 23
142, 17
143, 21
144, 18
145, 28
146, 17
147, 12
148, 17
149, 31
150, 14
151, 21
152, 18
153, 17
154, 13
155, 20
156, 18
157, 17
158, 21
159, 28
160, 20
161, 19
162, 19
163, 18
164, 24
165, 19
166, 20
167, 21
168, 19
169, 18
170, 17
171, 19
172, 10
173, 20
174, 24
175, 19
176, 24
177, 25
178, 25
179, 19
180, 18
181, 14
182, 20
183, 16
184, 19
185, 20
186, 23
187, 22
188, 23
189, 17
190, 11
191, 25
192, 18
193, 20
194, 18
195, 24
196, 18
197, 26
198, 14
199, 22
200, 21
201, 19
202, 18
203, 18
204, 20
205, 19
206, 28
207, 25
208, 25
209, 16
210, 15
211, 18
212, 21
213, 28
214, 16
215, 17
216, 18
217, 21
218, 19
219, 20
220, 19
221, 30
222, 13
223, 21
224, 15
225, 27
226, 17
227, 26
228, 25
229, 26
230, 15
231, 18
232, 14
233, 21
234, 24
235, 21
236, 21
237, 22
238, 20
239, 22
240, 27
241, 11
242, 16
243, 22
244, 20
245, 16
246, 20
247, 21
248, 23
249, 23
250, 22
251, 16
252, 23
253, 24
254, 19
255, 15
256, 24
257, 35
258, 20
259, 17
260, 15
261, 21
262, 20
263, 24
264, 25
265, 15
266, 21
